Boya N;PESCADORS - BALEARS 10C
Boya N;PESCADORS - BALEARS 11B
Boya N;PONIENTE 20B
Boya N;Practico N
Boya N;RELLOTGE 12A
Boya N;SANT BERTRAN 19A
Boya N;SANT BERTRAN 19B
Boya S;ALVAREZ DE LA CAMPA 26A
Boya S;Bocana S
Boya S;CONTRADIC (NORD) 22A
Boya S;CONTRADIC (SUD) 22C
Boya S;COSTA 21A
Boya S;DARSENA INTERIOR A 31A
Boya S;DARSENA INTERIOR B 31B
Boya S;DARSENA SUD 30C
Boya S;DARSENA SUR 30A
Boya S;DARSENA SUR 30B
Boya S;Dique SUR
Boya S;First Line
Boya S;FONDEIG 90A
Boya S;INFLAMMABLES 32A
Boya S;INFLAMMABLES 32B
Boya S;INFLAMMABLES 32C
Boya S;INFLAMMABLES 32D
Boya S;INFLAMMABLES 32E
Boya S;INFLAMMABLES 32F
Boya S;INFLAMMABLES 32G
Boya S;INFLAMMABLES 33B
Boya S;INFLAMMABLES 34B
Boya S;LEPANTO 27A
Boya S;LEPANTO 27B
Boya S;NOU CONTRADIC C 33C
Boya S;OESTE 23A
Boya S;Paso A Campa
Boya S;Paso M Contrad.
Boya S;Paso M Sur
Boya S;Paso Torre
Boya S;PONIENTE 20A
Boya S;PONIENTE 20C
Boya S;PONIENTE 20D
Boya S;Practico S
Boya S;PRAT 36A
Boya S;PRINCEP D'ESPANYA 28A
Boya S;SUD (EN ESPERA) 24X
Boya S;SUD (SUD) 24C
Boya S;SUR (EST) 24B
Boya S;SUR (NORD) 24A
CATALUNYA 06C;First Line
CATALUNYA 06C;PESCADORS - BALEARS 10A
Conf. Urgente N;4mn Boya N
Conf. Urgente N;ADOSSAT 00A
Conf. Urgente N;ADOSSAT 01D
Conf. Urgente N;BARCELONA 18A
Conf. Urgente N;BARCELONA 18B
Conf. Urgente N;BARCELONA 18C
Conf. Urgente N;BARCELONETA 13A
Conf. Urgente N;Bocana N
Conf. Urgente N;BOSCHI ALSINA 16A
Conf. Urgente N;Boya N
Conf. Urgente N;CATALUNYA 06C
Conf. Urgente N;CONTRADIC (EST) 22B
Conf. Urgente N;DIC SEC 04A
Conf. Urgente N;DIPOSIT 14A
Conf. Urgente N;ESPANYA 15A
Conf. Urgente N;ESPANYA 15B
Conf. Urgente N;First Line
Conf. Urgente N;LLEVANT 02B
Conf. Urgente N;LLEVANT 02D
Conf. Urgente N;LLEVENT 02C
Conf. Urgente N;MARINA'92 - NOU ESCAR 07A
Conf. Urgente N;MARINA'92 - NOU ESCAR 07B
Conf. Urgente N;MARINA'92 - NOU ESCAR 08A
Conf. Urgente N;MARINA'92 - NOU ESCAR 09A
Conf. Urgente N;MARINA'92 (NORD) 07C
Conf. Urgente N;MOLL DEL DIC FLOTANT 03B
Conf. Urgente N;MOLL DEL DIC SEC 03C
Conf. Urgente N;OCCIDENTAL 05B
Conf. Urgente N;ORIENTAL  03A
Conf. Urgente N;P. DE LA PAU - DRASSANES 17B
Conf. Urgente N;Paso M Levante
Conf. Urgente N;Paso WTC
Conf. Urgente N;PESCADORS - BALEARS 10A
Conf. Urgente N;PESCADORS - BALEARS 10B
Conf. Urgente N;PESCADORS - BALEARS 10C
Conf. Urgente N;PESCADORS - BALEARS 11B
Conf. Urgente N;PONIENTE 20B
Conf. Urgente N;Practico N
Conf. Urgente N;RELLOTGE 12A
Conf. Urgente N;SANT BERTRAN 19A
Conf. Urgente N;SANT BERTRAN 19B
Conf. Urgente S;2mn Boya S
Conf. Urgente S;ALVAREZ DE LA CAMPA 26A
Conf. Urgente S;Bocana S
Conf. Urgente S;Boya S
Conf. Urgente S;CONTRADIC (NORD) 22A
Conf. Urgente S;CONTRADIC (SUD) 22C
Conf. Urgente S;COSTA 21A
Conf. Urgente S;DARSENA INTERIOR A 31A
Conf. Urgente S;DARSENA INTERIOR B 31B
Conf. Urgente S;DARSENA SUD 30C
Conf. Urgente S;DARSENA SUR 30A
Conf. Urgente S;DARSENA SUR 30B
Conf. Urgente S;Dique SUR
